loan_default_proba,actual_label,label
0.0316090108979649,0,No Default
0.03482257836716267,0,No Default
0.4172774685848145,0,No Default
0.08605940860463529,0,No Default
0.08333386756922206,0,No Default
0.15238859679805872,0,No Default
0.0020865118312256604,0,No Default
0.0021295379417223554,0,No Default
0.41479228738423696,0,No Default
0.09666260420735787,1,Default
0.008115903724387665,0,No Default
0.10583251302678437,0,No Default
0.03267298851672914,0,No Default
0.10778992478743812,0,No Default
0.013248950357097422,0,No Default
0.02065861698396659,0,No Default
0.03087415658522782,0,No Default
0.041475448240804104,0,No Default
0.029903543259379908,0,No Default
0.03674662580487451,0,No Default
0.0549426953139349,0,No Default
0.013689389069201334,0,No Default
0.031126192065044595,0,No Default
0.02855014130130178,0,No Default
0.04570371129885014,0,No Default
0.0224895652750548,0,No Default
0.1804898157809984,0,No Default
0.025627941359209917,0,No Default
0.05628202293774052,0,No Default
0.01781172690195809,0,No Default
0.004695485257294311,0,No Default
0.028007806782193247,0,No Default
0.26216186720926815,0,No Default
0.009655672263475997,0,No Default
0.17192534267854287,0,No Default
0.022199318659077292,0,No Default
0.17257574871849296,0,No Default
0.006952804313433244,0,No Default
0.058704664965370947,0,No Default
0.023152245924959822,0,No Default
0.03319230566314946,0,No Default
0.040500486164760575,0,No Default
0.04479983725019483,0,No Default
0.041422979042599686,0,No Default
0.01532850613122557,0,No Default
0.02767645023518111,0,No Default
0.07267437810614916,0,No Default
0.011861117964042467,0,No Default
0.01882624951105461,0,No Default
0.01108457773674855,0,No Default
0.011499196276939521,0,No Default
0.004444533405079563,0,No Default
0.04056094390977726,0,No Default
0.0045659739348684085,0,No Default
0.12186062027563856,0,No Default
0.0033806278143380113,0,No Default
0.04407988191009938,0,No Default
0.07489957509515102,0,No Default
0.010737911262031505,0,No Default
0.07061540327121617,0,No Default
0.06379049873667451,0,No Default
0.024776013315652757,0,No Default
0.0012531804941332257,0,No Default
0.24425340709545026,1,Default
0.01745212456679635,0,No Default
0.13627811247068627,1,Default
0.07736131715025753,0,No Default
0.0025689320788938397,0,No Default
0.017003642469355575,0,No Default
0.04335241322328182,0,No Default
0.4416110461581341,1,Default
0.012933811966384745,0,No Default
0.03508049282936053,0,No Default
0.15888190078190928,0,No Default
0.01879377098272915,0,No Default
0.1102601358115288,0,No Default
0.11431541706974312,0,No Default
0.01396972505988371,0,No Default
0.06741530363494912,0,No Default
0.17886537848083398,0,No Default
0.16120665912251295,0,No Default
0.12517185303018954,0,No Default
0.04062754340255075,0,No Default
0.297490981254393,0,No Default
0.10706330843312307,0,No Default
0.49826645829804367,0,No Default
0.0684387894941817,0,No Default
0.0360654513068647,0,No Default
0.02231294837099395,0,No Default
0.13052178251245436,0,No Default
0.0695887451552696,0,No Default
0.006230116957338005,0,No Default
0.2575339073075105,0,No Default
0.05268845013549083,0,No Default
0.0009467293010630715,0,No Default
0.1454957978012442,0,No Default
0.0442509351535739,0,No Default
0.016677267885882058,0,No Default
0.1953392009127491,0,No Default
0.3041262255369842,1,Default
0.49040350461192034,1,Default
0.03609783190254355,0,No Default
0.023553674467160068,0,No Default
0.05260643630696861,0,No Default
0.08248794320501167,0,No Default
0.01724591672903181,0,No Default
0.05875839940062988,0,No Default
0.017420118613406924,0,No Default
0.04322371761306767,0,No Default
0.06629715048474812,0,No Default
0.27826668990582476,0,No Default
0.002463558069908663,0,No Default
0.0988496238517151,0,No Default
0.059389497984649854,0,No Default
0.06673891147052255,0,No Default
0.04952809956390696,0,No Default
0.01775096126013301,0,No Default
0.028502346873510158,0,No Default
0.038013749650396375,0,No Default
0.00641282196191768,0,No Default
0.0031932021293854898,0,No Default
