Metric,Count,loan_default_proba,actual_label,predicted_label,Source
True Negative,55095.0,,,,Summary
False Positive,1443.0,,,,Summary
False Negative,4122.0,,,,Summary
True Positive,843.0,,,,Summary
,,0.0326480540468389,0.0,0.0,Prediction
,,0.0605632092695206,0.0,0.0,Prediction
,,0.2827605152015461,0.0,0.0,Prediction
,,0.0767217941021192,0.0,0.0,Prediction
,,0.0815425643610513,0.0,0.0,Prediction
,,0.0788652722601073,0.0,0.0,Prediction
,,0.0042244140543977,0.0,0.0,Prediction
,,0.0047124412682018,0.0,0.0,Prediction
,,0.4028988320670932,0.0,1.0,Prediction
,,0.0874137819124313,1.0,0.0,Prediction
,,0.0105224953718904,0.0,0.0,Prediction
,,0.0349333183545209,0.0,0.0,Prediction
,,0.0320594459813724,0.0,0.0,Prediction
,,0.1077027374917735,0.0,0.0,Prediction
,,0.0115768432331193,0.0,0.0,Prediction
,,0.0189582583792331,0.0,0.0,Prediction
,,0.0409225876328153,0.0,0.0,Prediction
,,0.0440038877526276,0.0,0.0,Prediction
,,0.0336254944231714,0.0,0.0,Prediction
,,0.0257338278842208,0.0,0.0,Prediction
,,0.0181035992179299,0.0,0.0,Prediction
,,0.0079735792163767,0.0,0.0,Prediction
,,0.098930107076517,0.0,0.0,Prediction
,,0.0327098012959551,0.0,0.0,Prediction
,,0.0427666244968851,0.0,0.0,Prediction
,,0.0234584142049755,0.0,0.0,Prediction
,,0.2391090831492772,0.0,0.0,Prediction
,,0.0347711836784258,0.0,0.0,Prediction
,,0.0516059965541775,0.0,0.0,Prediction
,,0.0153840904589393,0.0,0.0,Prediction
,,0.0223413814587688,0.0,0.0,Prediction
,,0.0298792928448855,0.0,0.0,Prediction
,,0.170054563348722,0.0,0.0,Prediction
,,0.090849270524822,0.0,0.0,Prediction
,,0.1066607897373213,0.0,0.0,Prediction
,,0.0162483718954224,0.0,0.0,Prediction
,,0.2433168070092838,0.0,0.0,Prediction
,,0.0217081554514677,0.0,0.0,Prediction
,,0.0316172904363694,0.0,0.0,Prediction
,,0.0184631320605138,0.0,0.0,Prediction
,,0.0608323955575595,0.0,0.0,Prediction
,,0.1128471360280159,0.0,0.0,Prediction
,,0.0876827495314639,0.0,0.0,Prediction
,,0.05085711816349,0.0,0.0,Prediction
,,0.0119942942212421,0.0,0.0,Prediction
,,0.0481986638326481,0.0,0.0,Prediction
,,0.0435902002877123,0.0,0.0,Prediction
,,0.0152671515400536,0.0,0.0,Prediction
,,0.0238326830529494,0.0,0.0,Prediction
,,0.0145218028942624,0.0,0.0,Prediction
,,0.0128332777319624,0.0,0.0,Prediction
,,0.0077331488991248,0.0,0.0,Prediction
,,0.0542830142877125,0.0,0.0,Prediction
,,0.0040049632544965,0.0,0.0,Prediction
,,0.1026885544787668,0.0,0.0,Prediction
,,0.0036375929001693,0.0,0.0,Prediction
,,0.0776935352960738,0.0,0.0,Prediction
,,0.037325239319342,0.0,0.0,Prediction
